problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 70; 132; integer optimal solution; 0.10541796684265137; False;  
ID000_M003_J004; minla_fav; 3; 4; True; 29.0; 29.0; 0.0; 140; 31; 21; 45; 376; integer optimal solution; 0.0042231082916259766; False;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.00036787986755371094; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.492644002992268; nan; 140; 31; 23; 43; 376; optimal; 0.0005750656127929688; False;  
ID000_M003_J005; manne; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 31; 406; 210; integer optimal solution; 0.008646011352539062; False;  
ID000_M003_J005; minla_fav; 3; 5; True; 33.0; 33.0; 0.0; 220; 46; 27; 500; 605; integer optimal solution; 0.03151297569274902; False;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003838539123535156; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 28.558613184079604; nan; 220; 46; 37; 58; 605; optimal; 0.0006918907165527344; False;  
ID000_M015_J015; manne; 15; 15; True; 1143.0000000000073; 1214.0000000000018; 0.05848434925863969; 3375; 1801; 1009; 159560911; 9900; time limit exceeded; 3600.007485151291; True;  
ID000_M015_J015; minla_fav; 15; 15; True; 1209.9999998676005; 1210.0; 1.094210444933121e-10; 10110; 1801; 1014; 12517357; 29445; integer optimal, tolerance; 437.5580098628998; False;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.018131017684936523; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 982.4701986754965; nan; 10110; 1801; 1179; 3013; 29445; optimal; 0.08482503890991211; False;  
ID001_M015_J015; manne; 15; 15; True; 1176.9032256283567; 1177.0; 8.222121634942194e-05; 3375; 1801; 987; 190057746; 9900; integer optimal, tolerance; 2881.7960340976715; False;  
ID001_M015_J015; minla_fav; 15; 15; True; 1067.8961016359206; 1202.999999999999; 0.11230581742648994; 10110; 1801; 1000; 72399240; 29445; time limit exceeded; 3600.006844997406; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.018249988555908203; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 945.6247810339937; nan; 10110; 1801; 1160; 3405; 29445; optimal; 0.1140909194946289; False;  
ID002_M015_J015; manne; 15; 15; True; 1121.9999999999995; 1205.0; 0.0688796680497872; 3375; 1801; 1004; 190772665; 9900; time limit exceeded; 3600.006937980652; True;  
ID002_M015_J015; minla_fav; 15; 15; True; 1037.1231781106337; 1248.0; 0.16897181241133763; 10110; 1801; 1047; 79178001; 29445; time limit exceeded; 3600.297068119049; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.023830890655517578; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 947.8456375838925; nan; 10110; 1801; 1114; 2800; 29445; optimal; 0.09031486511230469; False;  
ID003_M015_J015; manne; 15; 15; True; 1171.8907704900619; 1172.0; 9.31992405615379e-05; 3375; 1801; 1065; 176548919; 9900; integer optimal, tolerance; 2787.7492938041687; False;  
ID003_M015_J015; minla_fav; 15; 15; True; 1043.9999999999998; 1185.0000000000002; 0.11898734177214221; 10110; 1801; 1061; 76188119; 29445; time limit exceeded; 3600.0068521499634; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.01930093765258789; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 911.0; nan; 10110; 1801; 1171; 2755; 29445; optimal; 0.09396195411682129; False;  
ID004_M015_J015; manne; 15; 15; True; 1102.9999999999989; 1262.0; 0.12599049128366763; 3375; 1801; 1105; 172104408; 9900; time limit exceeded; 3600.0074560642242; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 1111.193272828676; 1257.0; 0.11599580522777432; 10110; 1801; 1035; 88219722; 29445; time limit exceeded; 3600.008001804352; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.02229905128479004; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 975.6942503668224; nan; 10110; 1801; 1187; 3025; 29445; optimal; 0.09773111343383789; False;  
ID005_M015_J015; manne; 15; 15; True; 1161.9230740073456; 1162.0000000000014; 6.620137061599071e-05; 3375; 1801; 1010; 104764931; 9900; integer optimal, tolerance; 1682.9182360172272; False;  
ID005_M015_J015; minla_fav; 15; 15; True; 1043.9999999999995; 1181.0; 0.11600338696019377; 10110; 1801; 969; 78066556; 29445; time limit exceeded; 3600.008056163788; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02519702911376953; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 915.057151941249; nan; 10110; 1801; 1145; 3295; 29445; optimal; 0.1078948974609375; False;  
ID006_M015_J015; manne; 15; 15; True; 1242.8904109589032; 1243.0; 8.816495663458405e-05; 3375; 1801; 975; 35440840; 9900; integer optimal, tolerance; 558.8856258392334; False;  
ID006_M015_J015; minla_fav; 15; 15; True; 1242.8924221922127; 1243.0000000000002; 8.654690891993906e-05; 10110; 1801; 971; 20313912; 29445; integer optimal, tolerance; 652.8927798271179; False;  
