funcao_objetivo;problema;modelo;ordem_sol
29.000000000000004;ID000_M003_J004;manne;1
29;ID000_M003_J004;minla_fav;1
35;ID000_M003_J005;manne;1
33;ID000_M003_J005;manne;2
33;ID000_M003_J005;minla_fav;1
1291.0000000000009;ID000_M015_J015;manne;1
1303.9999999999975;ID000_M015_J015;manne;2
1277;ID000_M015_J015;manne;3
1387;ID000_M015_J015;manne;4
1245.0000000000014;ID000_M015_J015;manne;5
1272;ID000_M015_J015;manne;6
1262;ID000_M015_J015;manne;7
1342.9999999999998;ID000_M015_J015;manne;8
1267;ID000_M015_J015;manne;9
1278.0000000000014;ID000_M015_J015;manne;10
1224.9999999989996;ID000_M015_J015;manne;11
1385;ID000_M015_J015;manne;12
1326.0000000000014;ID000_M015_J015;manne;13
1366.9999999999998;ID000_M015_J015;manne;14
1259;ID000_M015_J015;manne;15
1278.9999999999998;ID000_M015_J015;manne;16
1221;ID000_M015_J015;manne;17
1308;ID000_M015_J015;manne;18
1273;ID000_M015_J015;manne;19
1295.0000000000009;ID000_M015_J015;manne;20
1342;ID000_M015_J015;manne;21
1353;ID000_M015_J015;manne;22
1672.9999999999998;ID000_M015_J015;manne;23
1350;ID000_M015_J015;manne;24
1356;ID000_M015_J015;manne;25
1300;ID000_M015_J015;manne;26
1232.0000000000023;ID000_M015_J015;manne;27
1258.0000000000007;ID000_M015_J015;manne;28
1329;ID000_M015_J015;manne;29
1299;ID000_M015_J015;manne;30
1629;ID000_M015_J015;manne;31
1249;ID000_M015_J015;manne;32
1295.0000000000009;ID000_M015_J015;manne;33
1229.9999999999998;ID000_M015_J015;manne;34
1367.9999999999998;ID000_M015_J015;manne;35
1365;ID000_M015_J015;manne;36
1375;ID000_M015_J015;manne;37
1435;ID000_M015_J015;manne;38
1354;ID000_M015_J015;manne;39
1227;ID000_M015_J015;manne;40
1296;ID000_M015_J015;manne;41
1376;ID000_M015_J015;manne;42
1358;ID000_M015_J015;manne;43
1264;ID000_M015_J015;manne;44
1352;ID000_M015_J015;manne;45
1256;ID000_M015_J015;manne;46
1222.9999999999993;ID000_M015_J015;manne;47
1344.9999999999998;ID000_M015_J015;manne;48
1343.9999999999998;ID000_M015_J015;manne;49
1244.0000000000014;ID000_M015_J015;manne;50
1247;ID000_M015_J015;manne;51
1370.9999999999998;ID000_M015_J015;manne;52
1215.0000000000002;ID000_M015_J015;manne;53
1329.9999999999989;ID000_M015_J015;manne;54
1246;ID000_M015_J015;manne;55
1218;ID000_M015_J015;manne;56
1251;ID000_M015_J015;manne;57
1315;ID000_M015_J015;manne;58
1424;ID000_M015_J015;manne;59
1224.0000000000018;ID000_M015_J015;manne;60
1341;ID000_M015_J015;manne;61
1322;ID000_M015_J015;manne;62
1369.9999998483995;ID000_M015_J015;manne;63
1290;ID000_M015_J015;manne;64
1221;ID000_M015_J015;manne;65
1629;ID000_M015_J015;manne;66
1243;ID000_M015_J015;manne;67
1227.9999999999998;ID000_M015_J015;manne;68
1215.0000000000002;ID000_M015_J015;manne;69
1276;ID000_M015_J015;manne;70
1349.0000000000002;ID000_M015_J015;manne;71
1332;ID000_M015_J015;manne;72
1268;ID000_M015_J015;manne;73
1290;ID000_M015_J015;manne;74
1263;ID000_M015_J015;manne;75
1269;ID000_M015_J015;manne;76
1339;ID000_M015_J015;manne;77
1291.9999999999998;ID000_M015_J015;manne;78
1347;ID000_M015_J015;manne;79
1281;ID000_M015_J015;manne;80
1340;ID000_M015_J015;manne;81
1247.9999999999993;ID000_M015_J015;manne;82
1346.0000000000025;ID000_M015_J015;manne;83
1321.0000000000002;ID000_M015_J015;manne;84
1359;ID000_M015_J015;manne;85
1257.0000000000009;ID000_M015_J015;manne;86
1253;ID000_M015_J015;manne;87
1373.9999999999998;ID000_M015_J015;manne;88
1263.9999999999991;ID000_M015_J015;manne;89
1260;ID000_M015_J015;manne;90
1248;ID000_M015_J015;manne;91
1348;ID000_M015_J015;manne;92
1284;ID000_M015_J015;manne;93
1350.9999999999968;ID000_M015_J015;minla_fav;1
1360;ID000_M015_J015;minla_fav;2
1341.0000000000002;ID000_M015_J015;minla_fav;3
1460;ID000_M015_J015;minla_fav;4
1296;ID000_M015_J015;minla_fav;5
1251;ID000_M015_J015;minla_fav;6
1229;ID000_M015_J015;minla_fav;7
1336;ID000_M015_J015;minla_fav;8
1213.9999999999998;ID000_M015_J015;minla_fav;9
1322;ID000_M015_J015;minla_fav;10
1381.9999999999968;ID000_M015_J015;minla_fav;11
1326;ID000_M015_J015;minla_fav;12
1220;ID000_M015_J015;minla_fav;13
1342;ID000_M015_J015;minla_fav;14
1273;ID000_M015_J015;minla_fav;15
1457;ID000_M015_J015;minla_fav;16
1371;ID000_M015_J015;minla_fav;17
1210;ID000_M015_J015;minla_fav;18
1432;ID000_M015_J015;minla_fav;19
1211;ID000_M015_J015;minla_fav;20
1319;ID000_M015_J015;minla_fav;21
1343.0000000000002;ID000_M015_J015;minla_fav;22
1267;ID000_M015_J015;minla_fav;23
1225;ID000_M015_J015;minla_fav;24
1366;ID000_M015_J015;minla_fav;25
1337;ID000_M015_J015;minla_fav;26
1353;ID000_M015_J015;minla_fav;27
1380;ID000_M015_J015;minla_fav;28
1418;ID000_M015_J015;minla_fav;29
1693;ID000_M015_J015;minla_fav;30
1415;ID000_M015_J015;minla_fav;31
1424;ID000_M015_J015;minla_fav;32
1358;ID000_M015_J015;minla_fav;33
1278;ID000_M015_J015;minla_fav;34
1317;ID000_M015_J015;minla_fav;35
1230.9999999999998;ID000_M015_J015;minla_fav;36
1372;ID000_M015_J015;minla_fav;37
1357;ID000_M015_J015;minla_fav;38
1586;ID000_M015_J015;minla_fav;39
1305;ID000_M015_J015;minla_fav;40
1354;ID000_M015_J015;minla_fav;41
1215;ID000_M015_J015;minla_fav;42
1277;ID000_M015_J015;minla_fav;43
1224.0000000000014;ID000_M015_J015;minla_fav;44
1448;ID000_M015_J015;minla_fav;45
1236;ID000_M015_J015;minla_fav;46
1431;ID000_M015_J015;minla_fav;47
1454;ID000_M015_J015;minla_fav;48
1559;ID000_M015_J015;minla_fav;49
1419;ID000_M015_J015;minla_fav;50
1220;ID000_M015_J015;minla_fav;51
1232;ID000_M015_J015;minla_fav;52
1218;ID000_M015_J015;minla_fav;53
1251;ID000_M015_J015;minla_fav;54
1252.0000000000014;ID000_M015_J015;minla_fav;55
1274;ID000_M015_J015;minla_fav;56
1234;ID000_M015_J015;minla_fav;57
1355;ID000_M015_J015;minla_fav;58
1455.0000000000007;ID000_M015_J015;minla_fav;59
1425;ID000_M015_J015;minla_fav;60
1222;ID000_M015_J015;minla_fav;61
1325.0000000000005;ID000_M015_J015;minla_fav;62
1416;ID000_M015_J015;minla_fav;63
1312;ID000_M015_J015;minla_fav;64
1226.9999999999998;ID000_M015_J015;minla_fav;65
1268;ID000_M015_J015;minla_fav;66
1258;ID000_M015_J015;minla_fav;67
1403;ID000_M015_J015;minla_fav;68
1402;ID000_M015_J015;minla_fav;69
1282;ID000_M015_J015;minla_fav;70
1300;ID000_M015_J015;minla_fav;71
1212;ID000_M015_J015;minla_fav;72
1452;ID000_M015_J015;minla_fav;73
1260;ID000_M015_J015;minla_fav;74
1374;ID000_M015_J015;minla_fav;75
1297;ID000_M015_J015;minla_fav;76
1257;ID000_M015_J015;minla_fav;77
1255;ID000_M015_J015;minla_fav;78
1262.9999999999998;ID000_M015_J015;minla_fav;79
1307;ID000_M015_J015;minla_fav;80
1368;ID000_M015_J015;minla_fav;81
1462;ID000_M015_J015;minla_fav;82
1270;ID000_M015_J015;minla_fav;83
1377;ID000_M015_J015;minla_fav;84
1370;ID000_M015_J015;minla_fav;85
1449.9999999999998;ID000_M015_J015;minla_fav;86
1348;ID000_M015_J015;minla_fav;87
1264;ID000_M015_J015;minla_fav;88
1578;ID000_M015_J015;minla_fav;89
1282;ID000_M015_J015;minla_fav;90
1275.0000000000005;ID000_M015_J015;minla_fav;91
1261;ID000_M015_J015;minla_fav;92
1337.9999999999998;ID000_M015_J015;minla_fav;93
1226;ID000_M015_J015;minla_fav;94
1414;ID000_M015_J015;minla_fav;95
1246.0000000000002;ID000_M015_J015;minla_fav;96
1374;ID000_M015_J015;minla_fav;97
1331.0000000000002;ID000_M015_J015;minla_fav;98
1346;ID000_M015_J015;minla_fav;99
1233;ID000_M015_J015;minla_fav;100
1323;ID000_M015_J015;minla_fav;101
1333;ID000_M015_J015;minla_fav;102
1375;ID000_M015_J015;minla_fav;103
1350.9999999999968;ID000_M015_J015;minla_fav;104
1407;ID000_M015_J015;minla_fav;105
1344;ID000_M015_J015;minla_fav;106
1376;ID000_M015_J015;minla_fav;107
1219;ID000_M015_J015;minla_fav;108
1303;ID000_M015_J015;minla_fav;109
1404;ID000_M015_J015;minla_fav;110
1369;ID000_M015_J015;minla_fav;111
1427;ID000_M015_J015;minla_fav;112
1315;ID000_M015_J015;minla_fav;113
1307.9999999999998;ID000_M015_J015;minla_fav;114
1252;ID000_M015_J015;minla_fav;115
1453;ID000_M015_J015;minla_fav;116
1324;ID000_M015_J015;minla_fav;117
1320;ID000_M015_J015;minla_fav;118
1304;ID000_M015_J015;minla_fav;119
1257;ID000_M015_J015;minla_fav;120
1408;ID000_M015_J015;minla_fav;121
1345;ID000_M015_J015;minla_fav;122
1213.9999999999998;ID000_M015_J015;minla_fav;123
1254;ID000_M015_J015;minla_fav;124
1271;ID001_M015_J015;manne;1
1297;ID001_M015_J015;manne;2
1249.9999999999998;ID001_M015_J015;manne;3
1375;ID001_M015_J015;manne;4
1207;ID001_M015_J015;manne;5
1180;ID001_M015_J015;manne;6
1243.9999999999998;ID001_M015_J015;manne;7
1226.9999999999998;ID001_M015_J015;manne;8
1326;ID001_M015_J015;manne;9
1231.9999998587027;ID001_M015_J015;manne;10
1251;ID001_M015_J015;manne;11
1199;ID001_M015_J015;manne;12
1371;ID001_M015_J015;manne;13
1313;ID001_M015_J015;manne;14
1349;ID001_M015_J015;manne;15
1222;ID001_M015_J015;manne;16
1261;ID001_M015_J015;manne;17
1196;ID001_M015_J015;manne;18
1301;ID001_M015_J015;manne;19
1245;ID001_M015_J015;manne;20
1276;ID001_M015_J015;manne;21
1324.9999999999995;ID001_M015_J015;manne;22
1338.0000000000002;ID001_M015_J015;manne;23
1713;ID001_M015_J015;manne;24
1336.9999999999993;ID001_M015_J015;manne;25
1341.0000000000009;ID001_M015_J015;manne;26
1294;ID001_M015_J015;manne;27
1204.0000000000002;ID001_M015_J015;manne;28
1221;ID001_M015_J015;manne;29
1314;ID001_M015_J015;manne;30
1293;ID001_M015_J015;manne;31
1563;ID001_M015_J015;manne;32
1212;ID001_M015_J015;manne;33
1281.9999999999998;ID001_M015_J015;manne;34
1203;ID001_M015_J015;manne;35
1350;ID001_M015_J015;manne;36
1346;ID001_M015_J015;manne;37
1367.9999999999998;ID001_M015_J015;manne;38
1402;ID001_M015_J015;manne;39
1338.9999999999993;ID001_M015_J015;manne;40
1178;ID001_M015_J015;manne;41
1182;ID001_M015_J015;manne;42
1200;ID001_M015_J015;manne;43
1292;ID001_M015_J015;manne;44
1369;ID001_M015_J015;manne;45
1343.9999999999991;ID001_M015_J015;manne;46
1231.9999998587027;ID001_M015_J015;manne;47
1337;ID001_M015_J015;manne;48
1217;ID001_M015_J015;manne;49
1197;ID001_M015_J015;manne;50
1192;ID001_M015_J015;manne;51
1328;ID001_M015_J015;manne;52
1327.0000000000002;ID001_M015_J015;manne;53
1206;ID001_M015_J015;manne;54
1208;ID001_M015_J015;manne;55
1354;ID001_M015_J015;manne;56
1192;ID001_M015_J015;manne;57
1315;ID001_M015_J015;manne;58
1208;ID001_M015_J015;manne;59
1188;ID001_M015_J015;manne;60
1184;ID001_M015_J015;manne;61
1195;ID001_M015_J015;manne;62
1213;ID001_M015_J015;manne;63
1307;ID001_M015_J015;manne;64
1392.9999999999998;ID001_M015_J015;manne;65
1198;ID001_M015_J015;manne;66
1324;ID001_M015_J015;manne;67
1312;ID001_M015_J015;manne;68
1353;ID001_M015_J015;manne;69
1270;ID001_M015_J015;manne;70
1195;ID001_M015_J015;manne;71
1415;ID001_M015_J015;manne;72
1206;ID001_M015_J015;manne;73
1201;ID001_M015_J015;manne;74
1194;ID001_M015_J015;manne;75
1249;ID001_M015_J015;manne;76
1336;ID001_M015_J015;manne;77
1177;ID001_M015_J015;manne;78
1319;ID001_M015_J015;manne;79
1232;ID001_M015_J015;manne;80
1265;ID001_M015_J015;manne;81
1226.9999999999998;ID001_M015_J015;manne;82
1233;ID001_M015_J015;manne;83
1319;ID001_M015_J015;manne;84
1272;ID001_M015_J015;manne;85
1332;ID001_M015_J015;manne;86
1263;ID001_M015_J015;manne;87
1321.9999999999995;ID001_M015_J015;manne;88
1209;ID001_M015_J015;manne;89
1330.0000000000002;ID001_M015_J015;manne;90
1311;ID001_M015_J015;manne;91
1345;ID001_M015_J015;manne;92
1217;ID001_M015_J015;manne;93
1215;ID001_M015_J015;manne;94
1181;ID001_M015_J015;manne;95
1356;ID001_M015_J015;manne;96
1230.9999998587027;ID001_M015_J015;manne;97
1223;ID001_M015_J015;manne;98
1210.9999998587027;ID001_M015_J015;manne;99
1187;ID001_M015_J015;manne;100
1333.9999998537019;ID001_M015_J015;manne;101
1265;ID001_M015_J015;manne;102
1183;ID001_M015_J015;manne;103
1307;ID001_M015_J015;minla_fav;1
1322;ID001_M015_J015;minla_fav;2
1295;ID001_M015_J015;minla_fav;3
1569;ID001_M015_J015;minla_fav;4
1252;ID001_M015_J015;minla_fav;5
1209.0000000000005;ID001_M015_J015;minla_fav;6
1289;ID001_M015_J015;minla_fav;7
1272;ID001_M015_J015;minla_fav;8
1364;ID001_M015_J015;minla_fav;9
1286.0000000000007;ID001_M015_J015;minla_fav;10
1295;ID001_M015_J015;minla_fav;11
1239;ID001_M015_J015;minla_fav;12
1551;ID001_M015_J015;minla_fav;13
1331.0000000000007;ID001_M015_J015;minla_fav;14
1398;ID001_M015_J015;minla_fav;15
1269;ID001_M015_J015;minla_fav;16
1297;ID001_M015_J015;minla_fav;17
1230;ID001_M015_J015;minla_fav;18
1323.9999999999995;ID001_M015_J015;minla_fav;19
1290;ID001_M015_J015;minla_fav;20
1310;ID001_M015_J015;minla_fav;21
1364;ID001_M015_J015;minla_fav;22
1381;ID001_M015_J015;minla_fav;23
1815;ID001_M015_J015;minla_fav;24
1376.9999999999998;ID001_M015_J015;minla_fav;25
1385;ID001_M015_J015;minla_fav;26
1319.9999999999998;ID001_M015_J015;minla_fav;27
1248;ID001_M015_J015;minla_fav;28
1268.0000000000005;ID001_M015_J015;minla_fav;29
1332;ID001_M015_J015;minla_fav;30
1315;ID001_M015_J015;minla_fav;31
1664;ID001_M015_J015;minla_fav;32
1258;ID001_M015_J015;minla_fav;33
1313;ID001_M015_J015;minla_fav;34
1247;ID001_M015_J015;minla_fav;35
1401;ID001_M015_J015;minla_fav;36
1206;ID001_M015_J015;minla_fav;37
1396;ID001_M015_J015;minla_fav;38
1540;ID001_M015_J015;minla_fav;39
1639;ID001_M015_J015;minla_fav;40
1381;ID001_M015_J015;minla_fav;41
1202.9999999999991;ID001_M015_J015;minla_fav;42
1208;ID001_M015_J015;minla_fav;43
1216;ID001_M015_J015;minla_fav;44
1241;ID001_M015_J015;minla_fav;45
1205;ID001_M015_J015;minla_fav;46
1314;ID001_M015_J015;minla_fav;47
1543;ID001_M015_J015;minla_fav;48
1391.0000000000007;ID001_M015_J015;minla_fav;49
1282;ID001_M015_J015;minla_fav;50
1378.9999999999998;ID001_M015_J015;minla_fav;51
1260.9999999999995;ID001_M015_J015;minla_fav;52
1231;ID001_M015_J015;minla_fav;53
1224.0000000000005;ID001_M015_J015;minla_fav;54
1367;ID001_M015_J015;minla_fav;55
1366;ID001_M015_J015;minla_fav;56
1251;ID001_M015_J015;minla_fav;57
1255;ID001_M015_J015;minla_fav;58
1447;ID001_M015_J015;minla_fav;59
1225;ID001_M015_J015;minla_fav;60
1341.0000000000007;ID001_M015_J015;minla_fav;61
1254;ID001_M015_J015;minla_fav;62
1222.0000000000032;ID001_M015_J015;minla_fav;63
1218.0000000000005;ID001_M015_J015;minla_fav;64
1229;ID001_M015_J015;minla_fav;65
1258.9999999999998;ID001_M015_J015;minla_fav;66
1325;ID001_M015_J015;minla_fav;67
1579;ID001_M015_J015;minla_fav;68
1235;ID001_M015_J015;minla_fav;69
1347;ID001_M015_J015;minla_fav;70
1331.0000000000007;ID001_M015_J015;minla_fav;71
1404;ID001_M015_J015;minla_fav;72
1300.9999999999998;ID001_M015_J015;minla_fav;73
1229;ID001_M015_J015;minla_fav;74
1656;ID001_M015_J015;minla_fav;75
1250;ID001_M015_J015;minla_fav;76
1246;ID001_M015_J015;minla_fav;77
1226;ID001_M015_J015;minla_fav;78
1291.0000000000005;ID001_M015_J015;minla_fav;79
1376;ID001_M015_J015;minla_fav;80
1208;ID001_M015_J015;minla_fav;81
1342;ID001_M015_J015;minla_fav;82
1286.0000000000007;ID001_M015_J015;minla_fav;83
1300.0000000000005;ID001_M015_J015;minla_fav;84
1204.0000000000011;ID001_M015_J015;minla_fav;85
1279.9999999999998;ID001_M015_J015;minla_fav;86
1286.9999999999998;ID001_M015_J015;minla_fav;87
1343;ID001_M015_J015;minla_fav;88
1309;ID001_M015_J015;minla_fav;89
1374;ID001_M015_J015;minla_fav;90
1298;ID001_M015_J015;minla_fav;91
1345;ID001_M015_J015;minla_fav;92
1256;ID001_M015_J015;minla_fav;93
1369;ID001_M015_J015;minla_fav;94
1326;ID001_M015_J015;minla_fav;95
1396;ID001_M015_J015;minla_fav;96
1262;ID001_M015_J015;minla_fav;97
1260;ID001_M015_J015;minla_fav;98
1211;ID001_M015_J015;minla_fav;99
1451;ID001_M015_J015;minla_fav;100
1281;ID001_M015_J015;minla_fav;101
1271.0000000000009;ID001_M015_J015;minla_fav;102
1256.9999999999998;ID001_M015_J015;minla_fav;103
1220;ID001_M015_J015;minla_fav;104
1375;ID001_M015_J015;minla_fav;105
1299.0000000000005;ID001_M015_J015;minla_fav;106
1217;ID001_M015_J015;minla_fav;107
1321;ID002_M015_J015;manne;1
1345;ID002_M015_J015;manne;2
1313.0000000000005;ID002_M015_J015;manne;3
1408.0000000000014;ID002_M015_J015;manne;4
1274;ID002_M015_J015;manne;5
1238.0000000000002;ID002_M015_J015;manne;6
1227;ID002_M015_J015;manne;7
1306;ID002_M015_J015;manne;8
1207.0000000000005;ID002_M015_J015;manne;9
1293;ID002_M015_J015;manne;10
1365;ID002_M015_J015;manne;11
1300;ID002_M015_J015;manne;12
1220;ID002_M015_J015;manne;13
1314;ID002_M015_J015;manne;14
1264.0000000000009;ID002_M015_J015;manne;15
1406;ID002_M015_J015;manne;16
1352;ID002_M015_J015;manne;17
1389;ID002_M015_J015;manne;18
1290;ID002_M015_J015;manne;19
1315.0000000000007;ID002_M015_J015;manne;20
1256.9999999999998;ID002_M015_J015;manne;21
1223;ID002_M015_J015;manne;22
1346;ID002_M015_J015;manne;23
1310;ID002_M015_J015;manne;24
1326;ID002_M015_J015;manne;25
1364;ID002_M015_J015;manne;26
1381.9999998540006;ID002_M015_J015;manne;27
1470;ID002_M015_J015;manne;28
1377;ID002_M015_J015;manne;29
1384.0000000000007;ID002_M015_J015;manne;30
1342.9999999999998;ID002_M015_J015;manne;31
1271;ID002_M015_J015;manne;32
1289;ID002_M015_J015;manne;33
1228.0000000000007;ID002_M015_J015;manne;34
1357;ID002_M015_J015;manne;35
1342;ID002_M015_J015;manne;36
1455;ID002_M015_J015;manne;37
1281;ID002_M015_J015;manne;38
1328.0000000000007;ID002_M015_J015;manne;39
1210;ID002_M015_J015;manne;40
1269.9999999999993;ID002_M015_J015;manne;41
1223;ID002_M015_J015;manne;42
1392;ID002_M015_J015;manne;43
1235.000000000003;ID002_M015_J015;manne;44
